CodigoCL,TIPO_SENAL,FASE,ACCION,n
CL82637,SI-07,INVENTARIO,INVENTARIO,1
CL82642,SI-07,PROGRAMACION,REEMPLAZAR,1
CL82645,SI-07,IMPLEMENTACION,INSTALACION,1
CL82645,SI-07,INVENTARIO,INVENTARIO,1
CL82666,SI-07,PROGRAMACION,REEMPLAZAR,3
CL8269,SI-07,IMPLEMENTACION,REEMPLAZAR,1
CL8269,SI-07,PROGRAMACION,MANTENIMIENTO,1
CL82788,SI-07,INVENTARIO,INVENTARIO,1
CL82823,SI-07,IMPLEMENTACION,INSTALACION,1
CL82823,SI-07,INVENTARIO,INVENTARIO,1
CL8285,SI-07,PROGRAMACION,RETIRAR,1
CL82881,SI-07,INVENTARIO,INVENTARIO,1
CL8293,SI-07,PROGRAMACION,REEMPLAZAR,1
CL8296,SI-07,INVENTARIO,INVENTARIO,1
CL8310,SI-07,INVENTARIO,INVENTARIO,1
CL8310,SI-07,PROGRAMACION,RETIRAR,3
CL8322,SI-07,PROGRAMACION,RETIRAR,1
CL8344,SI-07,INVENTARIO,INVENTARIO,2
CL8347,SI-07,INVENTARIO,INVENTARIO,1
CL8348,SI-07,INVENTARIO,INVENTARIO,1
CL8360,SI-07,INVENTARIO,INVENTARIO,1
CL8378,SI-07,PROGRAMACION,REEMPLAZAR,1
CL8379,SI-07,INVENTARIO,INVENTARIO,2
CL889,SI-07,PROGRAMACION,RETIRAR,1
CL9354,SI-07,PROGRAMACION,MANTENIMIENTO,1
CL937,SI-07A,INVENTARIO,INVENTARIO,1
CL9429,SI-07,PROGRAMACION,RETIRAR,1
CL9431,SI-07,IMPLEMENTACION,INSTALACION,1
CL9522,SI-07,IMPLEMENTACION,REUBICAR,5
CL9523,SI-07,IMPLEMENTACION,REUBICAR,3
CL9527,SI-07,IMPLEMENTACION,INSTALACION,1
CL9529,SI-07,PROGRAMACION,RETIRAR,1
CL9603,SI-07,IMPLEMENTACION,INSTALACION,1
CL9603,SI-07,IMPLEMENTACION,REUBICAR,10
CL9620,SI-07,IMPLEMENTACION,REUBICAR,5
CL9650,SI-07,PROGRAMACION,MANTENIMIENTO,1
