CodigoCL,TIPO_SENAL,FASE,ACCION,n
CL17072,SP-46/SR-30,INVENTARIO,INVENTARIO,1
CL17112,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL17128,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL17144,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL17160,SP-46/SR-30,INVENTARIO,INVENTARIO,1
CL17160,SP-46/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL17166,SP-46/SR-30,INVENTARIO,INVENTARIO,1
CL17188,SP-46,INVENTARIO,INVENTARIO,1
CL17192,SP-46,INVENTARIO,INVENTARIO,1
CL17192,SP-46,PROGRAMACION,REEMPLAZAR,1
CL17257,SP-46/SR-30,IMPLEMENTACION,INSTALACION,2
CL1726,SP-46A,IMPLEMENTACION,INSTALACION,1
CL1726,SP-46B,IMPLEMENTACION,INSTALACION,2
CL17264,SP-46,IMPLEMENTACION,REEMPLAZAR,1
CL17264,SP-46/SR-30,INVENTARIO,INVENTARIO,2
CL17264,SP-46/SR-30,PROGRAMACION,RETIRAR,2
CL17280,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,1
CL17345,SP-46/SR-30,IMPLEMENTACION,REEMPLAZAR,1
CL17345,SP-46/SR-30,PROGRAMACION,RETIRAR,2
CL1735,SP-46,PROGRAMACION,RETIRAR,1
CL1741,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,1
CL1741,SP-46B,IMPLEMENTACION,INSTALACION,1
CL17468,SP-46/SR-30,INVENTARIO,INVENTARIO,1
CL1751,SP-46A,IMPLEMENTACION,INSTALACION,1
CL1751,SP-46B,IMPLEMENTACION,INSTALACION,2
CL1754,SP-46B,IMPLEMENTACION,INSTALACION,2
CL17543,SP-46/SR-30,PROGRAMACION,RETIRAR,1
CL17554,SP-46/SR-30,PROGRAMACION,RETIRAR,2
CL17557,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL17570,SP-46/SR-30,PROGRAMACION,RETIRAR,1
CL17633,SP-46,PROGRAMACION,REEMPLAZAR,1
CL17662,SP-46/SR-30,INVENTARIO,INVENTARIO,1
CL17662,SP-46/SR-30,PROGRAMACION,REEMPLAZAR,1
CL177,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,1
CL1771,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,1
CL1771,SP-46B,IMPLEMENTACION,INSTALACION,2
CL17774,SP-46/SR-30,INVENTARIO,INVENTARIO,2
CL17774,SP-46/SR-30,PROGRAMACION,RETIRAR,2
CL17786,SP-46/SR-30,INVENTARIO,INVENTARIO,1
CL17786,SP-46/SR-30,PROGRAMACION,REEMPLAZAR,1
CL1787,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,1
CL1787,SP-46B,IMPLEMENTACION,INSTALACION,2
CL1792,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,1
CL18025,SP-46/SR-30,INVENTARIO,INVENTARIO,1
CL18046,SP-46/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL18047,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL1807,SP-46A,IMPLEMENTACION,INSTALACION,1
CL181,SP-46B,IMPLEMENTACION,INSTALACION,2
CL18120,SP-46,PROGRAMACION,RETIRAR,1
CL18138,SP-46/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL18154,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL1822,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,2
CL1822,SP-46B,IMPLEMENTACION,INSTALACION,2
CL18272,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL18306,SP-46/SR-30,PROGRAMACION,RETIRAR,1
CL18318,SP-46/SR-30,INVENTARIO,INVENTARIO,1
CL18333,SP-46,INVENTARIO,INVENTARIO,2
CL18340,SP-46,IMPLEMENTACION,INSTALACION,1
CL18340,SP-46,INVENTARIO,INVENTARIO,1
CL18341,SP-46,IMPLEMENTACION,INSTALACION,1
CL18341,SP-46,PROGRAMACION,MANTENIMIENTO,1
CL18341,SP-46,PROGRAMACION,REEMPLAZAR,1
CL18342,SP-46,INVENTARIO,INVENTARIO,2
CL18364,SP-46/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL18374,SP-46/SR-30,IMPLEMENTACION,INSTALACION,2
CL18379,SP-46/SR-30,INVENTARIO,INVENTARIO,1
CL18427,SP-46/SR-30,PROGRAMACION,REEMPLAZAR,1
CL18431,SP-46,PROGRAMACION,RETIRAR,1
CL18432,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL18449,SP-46/SR-30,PROGRAMACION,RETIRAR,1
CL18470,SP-46,IMPLEMENTACION,REEMPLAZAR,1
CL18470,SP-46,INVENTARIO,INVENTARIO,1
CL18479,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL18485,SP-46/SR-30,PROGRAMACION,RETIRAR,1
CL18488,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL1855,SP-46A,IMPLEMENTACION,INSTALACION,1
CL1855,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,1
CL1856,SP-46A,IMPLEMENTACION,INSTALACION,3
CL1856,SP-46B,IMPLEMENTACION,INSTALACION,3
CL18638,SP-46,INVENTARIO,INVENTARIO,1
CL18654,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL18774,SP-46,INVENTARIO,INVENTARIO,1
CL18881,SI-24/SR-30,INVENTARIO,INVENTARIO,3
CL18881,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL18881,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,2
CL18921,SI-24/SR-30,PROGRAMACION,REEMPLAZAR,2
CL18939,SP-46,INVENTARIO,INVENTARIO,1
CL18946,SP-46,INVENTARIO,INVENTARIO,2
CL190,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,1
CL19022,SP-46/SR-30,INVENTARIO,INVENTARIO,1
CL19022,SP-46/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL19041,SP-46/SR-30,INVENTARIO,INVENTARIO,1
CL19105,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL19136,SP-46,IMPLEMENTACION,REEMPLAZAR,1
CL19136,SP-46,INVENTARIO,INVENTARIO,1
CL19136,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL19136,SP-46/SR-30,INVENTARIO,INVENTARIO,1
CL1921,SP-46/SR-30,INVENTARIO,INVENTARIO,1
CL1921,SP-46A,IMPLEMENTACION,INSTALACION,2
CL1921,SP-46B,IMPLEMENTACION,INSTALACION,2
CL19236,SP-46,INVENTARIO,INVENTARIO,1
CL19265,SP-46/SR-30,PROGRAMACION,MANTENIMIENTO,2
CL1934,SP-46A,IMPLEMENTACION,INSTALACION,1
CL1934,SP-46B,IMPLEMENTACION,INSTALACION,1
CL19344,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL19347,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL19410,SP-46,IMPLEMENTACION,INSTALACION,1
CL19500,SP-46,INVENTARIO,INVENTARIO,1
CL19507,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL19507,SP-46/SR-30,INVENTARIO,INVENTARIO,1
CL19541,SP-46/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL1955,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,1
CL19576,SP-46,IMPLEMENTACION,INSTALACION,2
CL19636,SP-46,INVENTARIO,INVENTARIO,2
CL19637,SP-46/SR-30,INVENTARIO,INVENTARIO,1
CL19640,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
